prompts
hughes hall
tr2286 leaves
goodbye to
the tr1058
train tr8310
tr1328 leaves
the tr9276
you've come
the tr3158
tr0545 can
tr5908 leaves
train tr2912
when it
what area
gonville is
will a
the yu
it leaves
wonderful !
56 saint
yes actual
"not ,"
tr7747 leaves
just to
train tr0734
tr3450 leaves
the tr2001
the tr2508
total -ly
what nights
admission is
the cineworld
the tr4226
cambridge offers
nice !
try gonville
tr2521 will
tr8017 will
i honestly
arriving at
train tr0776
hotel allenbell
departure location
please have
that are
your 1
the tr1499
yes please
01223477900 .
tr4975 will
5 tickets
suretr9360 departs
train tr9522
om i
710 newmarket
cafe jello
tr9964 departs
grey skoda
everything is
entrance is
the tr9084
tr9452 leaves
i double
milton road
i can
tr2101 is
with a
yes definite
tr2776 will
reservation booked
i hear
tr7827 leaves
okay that
train tr9114
the model
tr9933 departs
i recommen
tr2987 departs
tr1339 is
we currently
welcome any
unfortunately none
tr7245 arrives
aylesbray lodge
yes where
great thank
that type
that guesthouse
great tr
tr8504 will
as a
trainid: tr0212
whats your
train tr4664
any more
tr8118 is
sure it
i went
our colleges
the medical
glad that
train tr0797
unfortunately bookings
and at
you table
then cityroomz
total travel
please stop
no information
total travel
the cityrooma
arrival at
tr2016 leaves
the post
"unfortunately ,"
tr5971 departs
welcome any
train tr7468
the tr3877
no 2
i apologize
for portuguese
okay great
so the
ali baba
camboats address
train tr8846
finches has
are searching
which restuarant
does architecture
kohinoor restaurant
luck is
you room
you as
the tr2826
four star
tr7430 leaves
tr5343 leaves
tr2420 train
the tr5484
you are
it appears
oh sure
what attraction
tr5219 leaves
gdsgfsd fg
so to
those would
train tr3844
tr2286 leaves
my suggestions
tr9424 will
tr4216 arrives
it works
the postalcode
okay shanghai
that phone
your ride
the alpha-minton
tr5159 will
the allen
train tr4859
call us
what an
would leaving
tr4212 leaves
tr2854 leaves
train tr6769
nothing is
your party
okay .
the soonest
the saint
train is
im sorry
7 of
tr5170 is
booking went
hi there
tr5517 will
the vietnamese
the tr0635
they both
the tr9082
"several ,"
the addenbrookes
restuarant one
they sure
when is
which price
your room
tr5953 arrives
your hotel
tr0467 leaves
ok we
the tr5859
oh they
very good
yes their
train tr0969
the tr3735
yes cityroomz
the booked
9725nvqd is
city centre
a single
train tr2379
train tr8500
city stop
the fare
i recommen
downing college
anatolia is
every place
well i
the leverton
the tr7692
tr6745 departs
tr6312 departs
clare college
tr1828 will
tr9680 leaves
ok sure
17.90 pounds
tr9876 leaves
their fee
tr0823 will
and where
the all
yes if
what ammenities
try kohinoor
the tr9905
the williams
surethe lucky
tr4216 leaves
sorry booking
all tickets
great .
will i
01223308871 is
tr4664 departs
check out
rice house
alpha milton
tr0532 arrives
tr2854 leaves
tr5266 arrives
tr9420 will
the tr9487
the people
the tr0927
lynne stover
could you
bye .
tr7548 leaves
is the
tr1590 leaves
and thank
i search
yes what
the tr8662
success in
train tr1542
tr7245 arrives
tr7786 will
that bring
tr7406 leaves
tr5694 cambridge
shall we
tr8410 will
pipasha restaurant
phone number
fantastichave a
trains leave
tr941 leaves
most welcome
express by
train tr6725
any idea
train tr2704
these trains
the allenbell
there does
riverside brasserie
tr8314 departs
good day
tr2850 leaves
ok just
for me
the camboats
thanks to
alright how
tr3577 will
in british
please book
warkworth house
the tr4626
please be
tr4669 leaves
the da
the tr0776
no hotel
super !
unfortunately i
a very
try some
first train
it look
ballare has
it takes
okay do
the police
frankie and
tr2985 leaves
tr1469 has
thanks very
i searched
the tr2503
tr7648 will
oh okay
ok is
your book
train tr7747
tr6224 would
"kohinoor ,"
tr7850 leaves
soul tree
tr9605 leaves
tr2826 will
the pnone
yes as
tr5941 leaves
tr6477 will
yes sorry
thank yo
consider it
tr8314 departs
i recommen
could you
regent street
tr1871 arrives
the tr5507
i ran
for town
so to
"thanks ,"
they system
thanks have
tr7940 will
here are
tr0757 leaves
tr2138 leaves
great let
that ticket
three restaurant
tr8151 will
unfortunately reservations
bye bye
entrance fee
hi i
hi this
tr9933 departs
tr3843 will
the bedouin
is an
sorry yes
the tr2211
tr6357 leaves
am i
cityroomzs hotel
christs college
and you
these are
you reservation
meze bar
absolutelythe adc
the system
tr7747 leaves
this museum
it arrives
"unfortuntately ,"
the tr7853
the tr2153
the restaurant
hk fusion
train tr2912
tr9823 will
most of
oh !
well here
booking has
i waqs
got itthe
tr2503 can
well that
cambridge has
yes mam
which place
tr4698 leaves
perfect .
train tr2969
the indian
60 minutes
tr5348 leaves
addenbrokes hospital
ok to
adc is
park street
what sort
cityroomz is
tr4283 leaves
which specific
train tr8699
tr2771 leaves
the arbury
train tr7733
tr7043 departs
01223334900 .
the bishops
the tr3602
great how
do have
if your're
if thats
camboats phone
youre being
scadamores punting
"perfect ,"
train tr4664
train# tr7548
cote is
the yipppee
booking went
all set-
now that
tr8394 arrives
tr9063 leaves
the tr2000
tr0721 departs
tickets on
their travel
oh what
sorry bout
with that
where wouold
tr3225 leaves
tr0031 leaves
all set-
train tr1549
cb39ey .
booking confirmed
tr0141 will
tr2175 will
ask is
travel time
if everything
the 5:54
what interests
galleria serves
the concerthall
01223333516 .
im glad
nirala is
tr5694 leaves
the tr5170
the autumn
the tr0088
the ballare
train tr7309
yes tr4765
tickets are
allenbell does
no sir
the tr4447
okay .
williams art
yes adress
its postcode
fine .
train tr3695
tr6110 has
the tr8464
nandos in
graffiti is
train tr5056
all hotel
my listings
tr2833 departs
contact number
provided information
none fits
train tr1008
"cb23ll ,"
it costs
i ran
i bookid
great the
i ran
express by
yes as
the 1st
that train
tr4813 leaves
please give
the maharajah
safe travels
curry garden
the ayesbray
the hobson
hmmm .
the botanic
the tr7223
tra tr0922
admission is
that reservation
01223464646 is
from what
24 guesthouses
im getting
what city
for sureit
the rating
oh you
no hotel
5 place
"fantastic ,"
and just
the finches
what movie
cote 's
train tr5343
that ride
try university
the cops
ruskin gallery
the tr1923
congrats you
great .
the 9:59
four trains
confirmation number
im happy
the tr2232
saint john
three people
nothing else
cote can
the tr9488
greathow can
my system
i tr0212
all set
tr8705 will
tr4765 will
booking went
either anatolia
good night
yes we
grafton hotel
tr9620 leaves
good bye
train tr0532
tr2515 arrives
"lovely ,"
i cancelled
tr1339 arrives
train 8665
that is
tr7966 does
try the
it look
the tr5106
are there
train tr8842
what day
eraina in
i hve
with all
yes 14:45
tr3207 will
tr2098 will
ok it
happy i
on sunday
what i
tr3433 will
both are
not available
train tr5473
churchill college
located at
hey i
"anytime ,"
just for
08712240240 .
52 mill
my recommendation
am i
tr7406 leaves
tr0559 leaves
wadlebury county
the parkside
thanks you
tr4828 departs
that booking
booking successful
tr1062 leaves
the tr9366
tr1659 departs
okay i'll
you very
"parkside ,"
"apologies ,"
that brings
"regretfully ,"
all trains
the golden
will i
the only
the clowns
train tr9580
the tr8399
can we
pembroke college
i believe
would you
tr1975 leaves
north 154
tr0864 will
then in
best of
that police
those reservations
thee are
tr5737 will
postcode :
certain -ly
no they
from which
tr8410 will
okay its
would a
the marriott
again that
"01223248882 ,"
tr1952 leaves
you could
tr1612 will
eraina is
the tr9084
sure i
tr0788 arrives
your party
what area
sorry unfortunately
what you
okay tr2442
ah yes
let us
the gardenia
your only
sure the
near the
tr1672 departs
we list
oh i
tr7878 leaves
tr3566 is
there actual
that arrives
tr5972 leaves
i gave
tr2534 arrives
oh they
cityroomz has
glad that
my sincerest
excellent !
tr8387 will
tr8207 arrives
saint barnabas
before reserving
neither of
unable to
the tr1898
01223353110 is
okay anatolia
there postal
tr4824 leaves
welcome nice
good bye
please feel
it sounds
greatyou are
not based
all righty
tr0449 is
five trains
tr0662 departs
tr5600 leaves
yes and
the tr2929
my favorite
ok can
thanks .
the ride
train tr4664
tr9775 arrives
train 2761
no that
tr8509 will
train tr0734
tr3343 will
no thanks
i just
leaves at
yes sorry
i honestly
shiraz restaurant
its ok
whats your
well thank
my last
tr 8292
on tuesday
the primavera
i hop
best price
unfortunately eraina
the tr2819
yes phone
well it
tr1342 leaves
cote is
10.10 pounds
train tr4931
when do
yes would
sure for
will it
can you
nandos can
6 of
great idea
i will
i recommen
46 jesus
if money
the tr7223
tr418 leaves
you must
train tr9016
9.80 pounds
the marriott
tr3798 gets
jinling noodle
"you ,"
okay and
"sadly ,"
can please
before going
we have
a ticket
sorry no
the tr6009
cocum 's
and when
both trains
the tr9835
tr0275 departs
i just
the tr9332
that i
the backstreet
provided information
goodbye and
so just
the postal
train tr0945
autumn house
sounds like
the 15:21
oh sure
there will
in parkside
train tr7656
ah yes
near the
sorry yes
okay what
tr2357 leaves
the tr5170
primavera and
07903665107 is
another option
check out
nandos can
no sir
wagamana is
tr0449 is
that worked
your set
tr5949 departs
two do
sweet !
the churchill
train tr4765
hmmm .
the trip
the tr6898
that is
"whoops ,"
train tr2704
the police
lovell lodge
we booked
tr6759 leaves
tr7763 arrives
on monday
no worries
and can
lucky star
the tr5225
sounds great
and do
midsummer house
are you
definitelycambridge has
it leave
booking unsuccessful
tr1791 leaves
yes as
01223464646 phone
all 6
kindly specify
cambridge lodge
the avolon
if money
tr7094 leaves
the tr0017
o booked
is cost
trains run
"woah ,"
of couse
as a
01223277977 is
the japanese
hace a
your contact
tr5886 leaves
the tr7846
keep the
tr8522 arrives
for moderate
why not
this has
i tr0212
postal is
the next
that type
no such
wonderful how
rainid departure
i ahve
what town
would leaving
"hmmm ,"
saffron brasserie
any criteria
an entrance
oh okay
the the
cambridge to
i have
your vehicle
we will
the european
tr1238 leaves
tr9493 arrives
of how
how about
train tr2970
tr4537 has
most are
eraina in
name is
thanks too
tr2357 leaves
leverton house
great glad
i hop
8.08 pounds
taxi is
to help
tr6834 is
total -ly
nandos 's
"alright ,"
tr3602 departs
no i
yesm there
the primavera
train tr2730
64 cherry
you do
the type
it will
ok expect
tr0104 would
yes i
meghan is
sure how
maybe old
the tr3043
take their
yes almost
its a
no pools
oh you
allenbell is
goodbye and
d recommend
fine .
the avolon
tr0467 leaves
no its
limehouse phone
thanks i
can we
da vince
prezzo and
trainid departure
there number
north 154
surethe phone
tr7468 would
no sir
kindly specify
15 trains
train tr9678
train tr2969
the chiquito
was that
yeah sure
nirala is
wifi is
with the
the stazione
tr1428 departs
lynne stover
perfect .
i honestly
telephone number
you never
we hope
the tr5034
the tr5385
the tr0995
train tr2052
train tr8699
am i
the tr9547
47 minutes
yes on
"indian ,"
the adc
sure many
the tr5767
i hovw
a very
yes finches
01223356555 is
kohinoor is
the tr2153
"thank ,"
you also
train tr6456
what time
ok done
absolutelythe adc
yeah all
tr3433 will
the tr3456
tr0339 leaves
train tr9892
tr7864 will
tr3330 will
any departure
the mumford
the majority
the fitzbillies
the gardens
the tr4626
the riverboat
your red
your ticket
tell me
"remember ,"
train tr1800
okwhat type
tr5538 leaves
congratulations you
okay we
tr7747 leaves
tr2478 leaves
byard art
tr7024 is
tr8026 arrives
what day
"then ,"
almost every
okay if
if that
alimentum is
out of
both the
the tr7683
tr1062 leaves
tr6939 is
those days
before we
13.28 pounds
the castle
at the
alright you
that id
and a
where is
train tr0686
the riverside
what specific
tr8290 leaves
01223312843 is
backstreet bistro
so i
the loch
the finches
in order
01223277977 is
01223353110 is
what side
is location
tr5219 leaves
tr0615 departs
neither is
cb39et cb39et
train tr3207
"fortunately ,"
the ride
i see
trainid departure
the tr1233
"wonderful ,"
"cb23nj ,"
tr4180 leaves
yes several
tr7803 will
a taxi
sitar tandoori
tr6809 leaves
tr4748 leaves
jesus lane
that train
ciquito restaurant
thanks !
tr5056 costs
the italian
and will
yes where
street .
are only
tr8042 will
tr1958 leaves
good day
tr0315 arrives
warkworth terrace
the leverton
where wouold
yes it
fitzbillies restaurant
terrific .
thanks alot
yes do
perfect .
i booked
the man
is a
gdsgfsd fg
the tr8089
ok great
08715501010 can
the tr5729
found 2
well they
tr2515 arrives
tr8361 will
the duration
okay tr9424
your ticket
tr0680 will
the broughton
what about
mumford theatre
it would
tr8824 is
bye bye
south would
tr8792 is
tr0788 arrives
47 minutes
ok what
it was
i heaar
city centre
unfortunately no
unfortunately it
tr9420 will
the museum
tr9003 will
the aylesbury
the addres
so i
should i
just want
the tr1412
there were
sure reference
for vietnamese
rajmahal is
the ashley
and would
cb39et cb39et
yellow audi
okwhat time
i pulled
tr2694 leaves
your reservation
im sorry
all guesthouses
9 of
a shuttle
yes expect
tr3780 will
your arrival
tr6626 leaves
yes can
the center
this particular
it will
tr5511 leaves
tr9589 leaves
i will
the postcode
tr9187 arrives
asian or
the tr3602
you might
first one
it takes
absolutelythe peking
ok de
the tr1058
good luck
yesm there
the tr9533
enjoyed your
okay traid
will this
its booked
six trains
we certain
alright have
nandos number
"goos-bye ,"
will a
graffiti 's
try some
you said
okay is
india house
tr2029 is
da vinci
rainid departure
the tr4943
133 trains
you came
the j
wandlebury 's
for moderate
lovell lodge
great news
tr7372 leaves
the ruskin
it certain
what times
tr8627 leaves
ok i
seems like
tr6742 leaves
thank yopu
tr6678 departs
churchill college
its been
their general
tr7846 will
as far
what part
we currently
the tr0467
tr2138 arrives
here are
i want
what part
the tr3450
train tr3255
there a
i said
tr3158 departs
kymmoy 's
01223477900 .
tr1931 will
would it
tr4975 will
yes sorry
i have
three place
okay where
no its
any departure
tr7935 leaves
"ok ,"
the ugly
this hotel
tr5344 arrives
tr2141 leaves
01223243830 .
that museum
tr8699 departs
one night
no indian
tr4387 arrives
is price
would there
the warkworth
ask for
tr4466 leaves
tr7047 leaves
the hakka
tr7349 will
the sesame
that gives
tr9202 costs
what price
tr5488 will
all i
tr5488 will
sure thingwhat
the tr7850
hi there
attractions are
"01223350914 ,"
tr3420 will
the mahal
our system
great where
gonville is
75.10 pounds
tr1159 leaves
sure why
okay is
absolutelythe peking
none fits
yes lan
cambridge contemporary
46 rose
yes indeed
christi 's
contact us
how man
got itthe
the north
no sorry
the nightclubs
that trainid
you never
the tandoori
08712240240 .
they ashley
unfortunately their
tr2045 will
efes is
i enjoy
yes phone
as stated
yeah all
its been
north 154
what night
i do
ive boked
hi this
tr5971 departs
tr1492 arrives
don pasquale
train# tr7548
what preference
tr0757 leaves
sure it
sorry .
well the
train tr9678
they will
"i ,"
hi there
tr2138 leaves
yup there
tr4170 leaves
tha adress
the slug
thanks and
now that
tr6697 departs
train tr8500
will there
tr0060 will
tr0415 leaves
01223243830 is
12 of
what department
just want
tr5928 leaves
"great ,"
depending on
and where
what did
they seem
phone: 01954714600
tr1879 leaves
that address
price is
the tr9084
just about
yes booking
adc theater
the allen
the curry
tr8406 will
8.08 pounds
efes serves
a and
tr2061 arrives
tr7040 will
grafitti has
ask serves
surethe travel
does acorn
i take
the tr8026
it include
tr8394 arrives
eraina serves
hello !
absolutely the
okay thanks
train tr3447
to which
train tr9495
okay brah
did you
nothing of
curry garden
the michael
sorry about
okay happy
the number
yes success
the tr3158
maybe i
galleria is
tr6742 leaves
pipasha is
the tr7692
tr3283 leaves
definite -ly
great saint
on monday
nirala is
the free
tr7040 will
your pickup
nusha :
tr0053 leaves
01223464646 phone
the east
train tr5465
both have
just so
yes leverton
we're always
ok .
just let
all have
that time
tr1931 will
goodbye and
3.52 pounds
tr5358 will
lovely guesthouse
the tr7928
the tr4964
tr3934 looks
twelve trains
bride guest
the sitar
success .
the junction
tr5886 leaves
warkworth does
yes travel
alrightyou are
01223356354 .
there will
the tr6009
well then
all saints
yes travel
would cambridge
phone is
have you
4ssokt22 is
hope your
tr6226 arrives
four great
allenbell does
little seoul
which area
tr5077 leaves
please enjoy
i haven't
sure for
tr4334 will
okay i'll
try university
no boats
i'll need
ok then
tr8042 will
the fee
i completely
okay and
train tr0927
tr9557 leaves
before booking
tr8293 arrives
hills rd
which side
okay would
train tr0945
those are
the japanese
red skoda
phone 01223355397
tr4887 leaves
tr8118 is
01223866800 .
on which
its booked
is parking
stazione restaurant
wonderful .
so it
tr9376 leaves
we still
6 of
tr7940 leaves
tr7239 departs
the jinling
booked for
emmanuel colleges
the tr9533
the tr0798
sure here
there a
tr4748 deperts
scudamores is
17.90 pounds
a booking
that too
what sort
yup there
ok am
yeah sore
tr9675 leaves
tr6971 departs
okay shanghai
arrival is
tr2045 leaves
the tr1709
closest police
yes yur
it looks
have a
tr5015 leaves
nandos 's
no hotel
tr5358 will
they system
the cinema
3 people
tr9202 costs
the williams
tr9933 departs
nice talking
the tr3702
that went
what a
good night
alright the
nandos can
the tr9276
autumn house
01223308871 is
you were
alright how
sorry there
tr3450 leaves
01223333516 .
train leaves
3.52 pounds
primavera is
allenbell is
the closest
tr2850 leaves
yes 5
riverside brasseri
tr6939 is
the tr5863
and how
tr7355 arrives
cambridge has
and which
tr 8292
tr0449 is
tr4792 leaves
tr4256 leaves
that guest
"16:38 ,"
kymmoy looks
train id#tr5435
chiquito restaurant
yu garden
almost every
tr1159 will
you should
train is
wow !
unfortunately reservations
alright a
you very
the departure
your confirmation
"whoa ,"
which of
the entry
tr6386 departs
lovell lodge
ok perfect
tr5928 leaves
tr2379 is
tr8306 leaves
hi .
their details
yes they
the church
the tr1828
the ghandi
three restaurant
definitelywe have
train tr3753
cocum 's
contact information
there does
tr5390 is
the tr7075
the attraction
tr7610 we
so the
the arrival
train tr4447
it can
what size
train tr6368
broughton house
panahar is
tr1828 will
kambar is
be free
hk fusion
little seoul
enjoy your
its phone
great day
okay tr9424
will you
little saint
adc theater
suretheir phone
restuarant one
the tr0559
i cancelled
unfortunately my
the tr1766
not a
postcode: cb43nl
tr5465 arrives
tr2939 will
the copper
ok and
then may
the tr3225
tr3810 is
train tr2970
the table
tr5662 will
on sunday
ok your
what station
please use
tr0094 leaves
that type
then in
cb19ej and
hey i
my all
postcode is
hold on
train #tr4330
trains leave
neither of
hi .
my listings
train tr0532
tr2634 leaves
train tr9448
did you
shiraz restaurant
tr0625 departs
the tr5089
the 3
tr1553 leaves
tr4404 leaves
also what
tr2586 arrives
my computer
cityroomzs hotel
perfect .
thank for
01223302330 .
this nightclub
they seem
the tr7177
those are
you were
sure its
we only
primavera 's
the tr3697
nandos serves
two selections
tr2621 arrives
sure the
reference number
tr2850 leaves
the closes
710 newmarket
people 's
any arrival
the finches
meghna serves
cb39et cb39et
tr4987 gets
congratulations !
tr4669 leaves
the bedouin
133 trains
you really
you should
correction i
nice it
sorry bout
we haven't
train tr6368
the tr2863
that hospital
train tr4765
six trains
cityroomzs hotel
that type
tr2521 leaves
the tr7458
address :
booked you
reservation booked
nandos number
efes serves
"7:00 ,"
attractions are
for that
tr3470 leaves
i waqs
the alpah-milton
cambridge 's
might i
tr7447 leaves
tr5538 leaves
el shaddi
okay the
tr0945 leaves
call back
both finches
ok sure
tr7317 leaves
any time
you car
yes sorry
bangkok city
okay for
train tr3922
for vietnamese
try riverside
and the
tr9460 leaves
your request
your book
hakka and
pipasha restaurant
train tr1008
"whoa ,"
the tr3347
a guesthouse
what size
i wish
friday at
eraina serves
i still
the tr7001
tr0449 is
ok have
i suggest
14 of
yes allenbell
we booked
tr7460 leaves
tr4757 leaves
yes for
tickets for
train tr6662
their entrance
the tr8134
the tr2819
"hm ,"
the shanghai
the tr5703
10:01 is
ok thank
5 trains
please feel
and what
oh they
cityroomz hotel
the finches
contact us
definitelywe have
for your
then booking
cityroomz does
okay done
12:21 and
hold on
efes is
happy to
i checked
to what
a black
unfortunately they
alright what
i recomend
the tr4351
ive located
no sorry
rosa 's
a majority
well they
tr8143 departs
tr5212 will
train tr1478
which day
i havea
neither of
that can
scudamores is
they seem
cb13ef .
train tr4664
tr7548 leaves
okay just
la margherita
train tr2274
w8yhjksv is
tr7043 departs
what time
camboats are
the cinema
tr8873 leaves
tr4969 will
your car
youre being
phone number:
bridge guest
do you
greatyou are
tr0862 will
yellow honda
the lan
cambridge offers
there s
oh okay
what ever
their general
well how
certainlywhat time
phone 01223355397
tr3211 leaves
tr9082 leaves
so you
17 magdalene
train tr9102
tr9003 will
unfortunately my
which train
there seems
tr8080 departs
as far
train tr5570
great guesthouse
train# tr7759
the tr2788
on sunday
train tr8500
the limehouse
hughes hall--postcode
ok did
tr7802leaves 09.40
goodbye
unfortunately ashley
sure here
glad i
tr9933 departs
any arrival
the tr6067
tr9835 arrives
churchill college
which of
still no
tr7648 will
what destination
01223356555 is
then may
ballare 's
the tr3005
there 2
the whipple
that arrives
taxi booking
i waqs
surethe phone
i recommendvlittle
anatolia is
tr418 leaves
where on
unfortunately their
great if
happy i
slight typo
"indeed ,"
their post
tr1755 is
tr9854 departs
tr1923 departs
"whoops ,"
tr4651 departs
the finches
i narrowed
tr0953 going
thats good
my favorite
does this
"fantastic ,"
at what
the cineworld
how does
name type
but of
this gallery
sadly there
abbey pool
train tr4931
your 2
"woah ,"
tr2950 arrives
the closest
is your
trains begin
success .
if money
they seem
tr6386 departs
tr7785 leaves
"011223464646 ,"
tr2636 is
starting what
there ar
the whale
when booking
tr4859 is
the tr7846
alright the
duration for
there number
17.60 pounds
congrats you
7kkkclip is
thee are
tr1036 will
are there
yes chery
booked you
train tr2164
the departure
tr1036 will
saint barnabas
and just
i beg
tr7763 arrives
which day
yes 5
the gardens
the tr2863
and will
the tr3543
india house
train tr8464
this hotel
could i
tr8126 arrives
01223358966 is
the varsity
great let
michaelhouse cafe
found a
alright we
leaves at
would recommend
alright how
graffiti serves
no results
well what
royal spice
tr4828 departs
tr2101 is
which museum
saffron brasserie
sory can
trains from
tr0104 would
the kymmoy
alright i
"congratulations ,"
probably the
there is
16.50 pounds
the tr1162
train tr0996
tr9445 departs
tr2029 is
we're a
tr7610 we
the tr4626
galleria is
the admission
the hakka
tr5431 fits
panahar is
greati have
on what
the da
peking is
tr3177 will
tr6759 leaves
sure depending
tr8314 departs
tr8860 departs
kambar nightclub
you as
no sorry
tr0721 departs
the emergency
jesus lane
book another
great glad
i switched
01223575122 .
tr4990 departs
all hotel
are you
the byard
train tr5567
sure no
this museum
take their
adress is
happy anniversary
the salsa
cambridge and
"sorry ,"
tr1958 leaves
understood .
tr7020 departs
no 2
"apologies ,"
at the
sure- where
graffiti serves
i looked
tr7075 cambridge
01223243830 .
the hospital
train tr4765
cotto 's
tr1755 is
ok fantastic
kymmoy offers
thanks again
the indian
the tr8233
tr3447 leaves
cityroomz matches
in review
tr3769 departs
booked it
tr6742 leaves
why yes
tr6745 departs
tr7317 leaves
my listings
cbooking was
train tr7411
sue it
tr7648 will
tr6193 will
the incorrect
the backstreet
i successful
the tr1892
the tr2819
probably the
cityroomz does
alright perfect
clare hall
tr941 leaves
noone in
i search
the option
ok would
tr5170 is
first we
the tr9942
tr0625 departs
with all
train tr5348
tr1817 leaves
im sorry
both finches
12 of
tr8224 arrives
what interests
the tr9561
tr5266 arrives
addenbrookes postcode
both offer
cambridge arts
sorry for
the autumn
train tr5465
tr0677 will
second time
train tr6105
train tr8699
iam sorry
the post
other than
train tr6110
tr6723 leaves
great how
"ballare ,"
what movie
eraina has
nice place
tr7406 leaves
alaways welcome
tr5662 will
the cherry
an expensive
the cheap
that does
the museum
tr3810 would
tr7966 departs
37 pounds
any location
please be
am i
this is
we still
both guesthouses
got you
the full
boom !
ok perfect
reservations for
w8yhjksv is
the tr3685
and when
5 place
kambar nightclub
train tr7733
here are
before reserving
163 minutes
train tr8792
tr5358 leaves
a guesthouse
ok did
it include
your grey
tr1339 arrives
feel better
tr5928 leaves
certainlywhat time
"unfortunately ,"
yes and
okay tr2442
tr3659 arrives
be sure
tr3702 leaves
all 2
its the
the pipasha
what part
tr8494 leaves
01223243830 .
710 newmarket
oh that
autumn house
01223292094 is
the cafe
tr0466 leaves
okay goodbye
feel better
tr8331 leaves
reservations for
lots !
and just
you will
my fault
i certain
no problemwhere
tr4256 will
i quite
one more
most nightclubs
no 2
train tr3782
would there
the tr8903
the acorn
the tr9488
glad i
22 sidney
that worked
tr5488 will
a table
tr8238 .
train tr1526
the all
ok can
tr8705 will
the holiday
considering that
so we
the tr8685
any location
tr 9468
that sounds
tr0363 departs
tr3420 will
it leaves
university of
yes street
yes michaelhouse
"thanks ,"
alright ive
the whipple
tr1688 leaves
the tr1828
tr8842 will
anatolia is
okay and
gonville hotel
unfortunately there
your white
these are
"oh ,"
this museum
tr2392 arrives
the tr4256
"sorry ,"
wadlebury county
most definite
okay thank
the chiquito
yes most
your seat
tr8199 will
train 1610
prezzo in
indian food
tr8017 will
01223337766 .
152154 hills
the east
primavera and
get them
that hotel
train tr7468
anatolia is
good luck
tr3387 arrives
your are
tr8842 arrives
please enjoy
your stay
trains all
not sure
upon booking
blue skoda
here you
in british
j restaurant
based off
your stay
ok to
hello .
tr3466 leaves
i hope
perhaps we
can you
tr0339 leaves
what day
if everything
tr2762 leaves
your request
mumford theatre
avalon does
alright perfect
tr3043 arrives
the tr3732
the tr6310
chinese would
tr0904 has
trin id
perfect .
okay its
that shouldn't
the 16:09
your reservations
tr1709 leaves
tr8813 arrives
the sala
"personally ,"
okay it
blue skoda
the tr3564
that museum
what can
you could
they did
the earlest
with the
4 museums
yes cityroomz
yes how
id is
departure location
definitelywe have
tr8813 arrives
just want
the tr9561
our records
w8yhjksv is
nusha 's
the tr2452
that we
great tr
i m
as for
tr5266 arrives
address is
great it
how 's
you leave
most are
le t
yes .
tr2379 is
the tr4016
oh that
please provide
postcode cb23pg
i particularly
let us
first of
reservation for
tr0862 will
what tie
hot pot
what kind
i reserved
yes don
the tr4828
tr5725 leaves
you are
is a
7 tickets
grey skoda
tr4322 will
pizza hut
tr1997 leaves
17 place
cambridge arts
"unfortunately ,"
tr5694 leaves
sure expect
each train
just want
tr3577 will
no 2
tr2000 takes
all saints
tr6745 departs
we offer
24 green
that went
royal spice
ive boked
4 stars
the tr4256
parkside police
that is
trian tr7924
my listings
i located
tr5124 arrives
this one
wonderful .
la raza
train tr4863
which one
almost all
oh great
the centre
sheep 's
train tr8176
all saints
should it
the primavera
address: hills
oh great
the tr9016
club salsa
okay its
lynne strover
tr3577 will
cambridge museum
neither is
train tr9209
will that
take their
i switched
sure -ly
01223312843 is
tr3052 will
i cannot
the tr5797
well they
have an
saint johns
tr9956 i
tr3353 leaves
taxi from
tr8533 will
my mistake
all are
fantastic .
the tr9487
saigon city
okay is
tr4748 arrives
so the
tr1828 will
phone them
tr9999 leaves
tr5529 leaves
cb19ej and
sure tr7759
of coursethe
that museum
the tr2503
the tr9407
please show
train tr7808
the three
the fees
the lucky
your welcome
the huntingdon
tr6193 will
it depends
i avenue
it fills
the main
train tr5725
and *i*
tr7803 will
tr9063 leaves
sorry no
tr0471 leaving
train tr2274
ah yes
great it
we sure
sure they
the tr9082
you taxi
tr1339 arrives
glad to
the sitar
you got
tr2823 is
train tr0686
great thanks
how does
the tr0545
here it
lynne stover
trains run
the tr4235
what aspects
tr1596 leaves
just let
nirala is
"bye ,"
yes but
al set
sure travel
we only
allenbell guesthouse
booked for
okay fantastic
great it
addenbrookes has
great and
the tr2775
congratulations !
my preference
the regency
which information
sorry i
you have
university hotel
like i
nandos city
that specific
it turns
its phone
of coursesorry
the addenbrookes
good choice
cambridge 's
tr4708 departs
the clowns
tr5626 leaves
so sorry
that does
the cow
anytime .
train tr0797
what dad
five trains
good choice
great idea
let me
tr3420 will
greathave a
curry prince
absolutelythe adc
nandos can
cineworld is
tr8522 arrives
the room
tr3283 leaves
sure their
the nightclubs
you need
hamilton lodge
tr7040 will
taj tandoori
well christ
train tr3447
it arrives
train tr0394
my recommendation
sure depending
tr5077 leaves
ok addenbrookes
wadlebury county
so to
loch fyne
train tr4553
little saint
please state
the gallery
train tr2130
riverside brasserie
alright sounds
yes eraina
that shouldn't
sure tr7759
ok perfect
cambridge book
the tr8272
"7:00 ,"
the tr3043
good by
table for
the tr5507
each train
leverton house
tr6210 arrives
cb21tt is
university hotel
both finches
the city
where wouold
would it
tr8272 leaves
your all
the tr0635
six trains
good bye
hi !
train tr2052
all set
